Lab Status,Latitude,Longitude,Color,Abdomen
Positive ID,49.14939,-123.943134,0,1
Negative ID,48.7296,-122.480035,0,0
Negative ID,47.39572,-123.105188,0,0
Negative ID,47.84004,-122.323562,0,0
Negative ID,47.63506,-122.057332,0,0
Negative ID,46.60992,-120.563107,0,0
Negative ID,48.00676,-122.462053,0,0
Negative ID,47.62986,-120.68945,0,0
Negative ID,47.76677,-122.552735,0,0
Negative ID,47.70879,-117.472206,0,0
Negative ID,47.22188,-119.99443,1,0
Negative ID,47.328,-122.58004,0,0
Negative ID,46.49185,-117.085127,0,0
Negative ID,46.5352,-117.084754,0,0
Negative ID,47.00548,-122.919675,0,0
Negative ID,48.14981,-123.13306,0,0
Negative ID,47.8595,-122.26428,0,0
Negative ID,48.74478,-122.478403,1,0
Negative ID,47.66552,-122.33873,0,0
Negative ID,47.63412,-122.646627,1,0
Negative ID,47.64394,-122.623737,1,0
Negative ID,48.58841,-122.409922,0,0
Negative ID,46.25472,-120.84395,0,0
Negative ID,47.57302,-122.384369,0,0
Negative ID,48.85324,-122.601104,0,0
Negative ID,48.82352,-122.32684,1,0
Negative ID,48.23479,-122.512932,1,0
Negative ID,47.76724,-122.203342,0,0
Negative ID,48.41999,-122.327865,0,0
Negative ID,48.93116,-122.548199,0,1
Negative ID,47.62986,-120.68945,0,0
Negative ID,46.58561,-120.4542,1,0
Negative ID,48.17651,-122.527462,0,0
Negative ID,47.60767,-122.312902,0,0
Negative ID,48.08848,-123.162659,0,0
Negative ID,47.70145,-117.15638,0,0
Negative ID,48.83241,-122.5931,0,0
Negative ID,47.02437,-122.811665,0,1
Negative ID,46.63281,-122.971509,0,0
Negative ID,47.01437,-122.814362,0,0
Negative ID,47.01037,-122.857981,0,0
Negative ID,47.37346,-120.141581,1,1
Negative ID,48.58405,-122.232279,0,0
Negative ID,47.76362,-122.541143,1,0
Negative ID,47.59787,-122.62958,0,1
Negative ID,46.57922,-119.005588,0,0
Negative ID,47.75628,-122.216833,0,0
Negative ID,47.67176,-122.30735,0,1
Negative ID,46.2122,-119.293372,0,0
Negative ID,47.47973,-122.30849,0,1
Negative ID,47.31542,-119.545603,0,1
Negative ID,47.07642,-122.312839,0,0
Negative ID,48.11299,-122.060976,0,1
Negative ID,46.41781,-117.033198,0,0
Negative ID,47.79871,-122.288636,0,0
Negative ID,45.58684,-122.300349,0,1
Negative ID,47.66225,-117.287249,0,0
Negative ID,47.20386,-124.200461,0,0
Negative ID,45.65161,-121.954251,0,0
Negative ID,48.27877,-122.647282,1,0
Negative ID,47.26819,-122.471635,0,0
Negative ID,48.04008,-122.42349,0,0
Negative ID,48.26049,-117.749912,0,0
Negative ID,47.00379,-123.40382,0,0
Negative ID,47.91849,-122.099645,0,0
Negative ID,47.84329,-120.02318,0,0
Negative ID,47.61747,-122.333842,0,0
Negative ID,47.59173,-117.41351,0,0
Negative ID,47.47007,-121.747172,0,0
Negative ID,48.75235,-122.47122,0,0
Negative ID,47.45114,-122.267277,0,1
Negative ID,47.2022,-122.24,0,0
Negative ID,48.23754,-122.156276,0,0
Negative ID,46.99703,-120.54872,0,0
Negative ID,46.05331,-122.042238,0,0
Negative ID,47.18063,-122.328275,0,0
Negative ID,47.64999,-122.217316,1,1
Negative ID,45.4992,-122.491135,0,1
Negative ID,47.56639,-122.161371,0,0
Negative ID,47.48376,-120.341365,1,0
Negative ID,47.81082,-117.595544,0,0
Negative ID,47.70372,-122.360349,0,0
Negative ID,47.70257,-122.062616,0,0
Negative ID,47.17563,-122.239197,0,1
Negative ID,47.38492,-122.045088,1,0
Negative ID,48.7675,-122.488037,1,0
Negative ID,48.03759,-123.04359,0,0
Negative ID,47.95683,-122.212831,0,0
Negative ID,47.46145,-120.309291,0,1
Negative ID,46.2324,-119.0982,0,1
Negative ID,47.05782,-122.403006,0,0
Negative ID,46.52948,-122.48446,1,1
Negative ID,46.48698,-122.508845,1,0
Negative ID,47.3074,-122.23041,0,1
Negative ID,47.66658,-122.282676,0,0
Negative ID,47.89722,-122.526842,0,1
Negative ID,47.48029,-122.162668,0,1
Negative ID,47.98259,-122.101218,0,0
Negative ID,48.12619,-122.281148,0,1
Negative ID,47.19044,-122.29564,0,0
Negative ID,47.52139,-121.843014,0,0
Negative ID,47.83283,-122.26675,0,0
Negative ID,46.32319,-124.007664,0,1
Negative ID,48.69954,-122.481805,0,0
Negative ID,46.55097,-123.590329,0,0
Negative ID,47.85952,-122.127766,0,0
Negative ID,46.55058,-123.590433,0,0
Negative ID,48.87279,-122.316346,0,0
Negative ID,47.71838,-122.244582,0,0
Negative ID,47.76839,-122.533587,0,0
Negative ID,48.5501,-119.741725,0,1
Negative ID,47.63835,-117.214026,0,0
Negative ID,47.78371,-122.49238,0,1
Negative ID,47.6028,-122.3292,0,0
Negative ID,47.60554,-122.305169,0,0
Negative ID,47.2774,-122.334705,1,0
Negative ID,47.49287,-122.241749,0,1
Negative ID,47.96216,-122.107722,0,0
Negative ID,47.96216,-122.107725,0,0
Negative ID,47.45118,-122.599167,0,1
Negative ID,48.07219,-121.041012,0,0
Negative ID,47.0036,-120.555779,0,0
Negative ID,48.0068,-122.529558,0,0
Negative ID,47.78092,-117.501431,0,0
Negative ID,47.27583,-119.668888,0,0
Negative ID,47.67735,-122.39631,1,0
Negative ID,46.41603,-117.04552,0,0
Negative ID,47.78843,-122.31275,0,0
Negative ID,48.4856,-122.360717,0,0
Negative ID,47.18676,-122.57624,0,0
Negative ID,48.81122,-122.90242,0,0
Negative ID,47.46261,-120.308007,0,0
Negative ID,47.33941,-122.28456,0,0
Negative ID,47.26352,-122.647769,0,1
Negative ID,46.65221,-122.931688,0,0
Negative ID,47.48901,-117.57477,0,0
Negative ID,47.30676,-122.031104,0,0
Negative ID,47.53227,-121.853513,0,0
Negative ID,48.93014,-122.521446,0,0
Negative ID,47.51829,-122.388939,0,1
Negative ID,48.82956,-122.590623,0,0
Negative ID,48.83906,-122.616491,0,0
Negative ID,47.46849,-122.655433,1,0
Negative ID,46.20051,-119.144673,0,0
Negative ID,45.65496,-122.677283,0,1
Negative ID,47.7313,-122.172093,0,1
Negative ID,47.66847,-117.401621,0,0
Negative ID,47.78964,-122.503281,0,0
Negative ID,47.71862,-117.408025,0,0
Negative ID,47.80694,-122.340925,0,0
Negative ID,48.61057,-122.67602,0,0
Negative ID,48.15458,-122.300293,0,1
Negative ID,47.55133,-122.085384,0,0
Negative ID,47.99315,-122.54737,0,0
Negative ID,47.32483,-122.329105,0,0
Negative ID,46.30957,-119.481345,0,0
Negative ID,46.25785,-119.489194,0,1
Negative ID,47.70693,-117.313966,0,0
Negative ID,47.65933,-122.348394,0,0
Negative ID,47.565,-122.62749,1,0
Negative ID,47.63089,-122.290607,1,0
Negative ID,47.76197,-117.365365,0,0
Negative ID,47.7621,-122.56811,0,1
Negative ID,45.63221,-122.67156,1,0
Negative ID,47.9265,-122.41903,0,0
Negative ID,48.89158,-122.350758,0,1
Negative ID,46.41144,-117.04303,0,0
Negative ID,47.18556,-121.959895,0,0
Negative ID,49.00222,-122.738239,0,0
Negative ID,47.98613,-122.124511,0,0
Negative ID,47.13371,-122.431896,0,1
Negative ID,48.90749,-122.355099,1,1
Negative ID,48.77371,-122.360487,0,0
Negative ID,47.62696,-122.539736,0,1
Negative ID,48.70689,-122.485343,0,0
Negative ID,46.43015,-124.027376,0,0
Negative ID,47.78913,-122.504333,0,0
Negative ID,47.40376,-122.460029,0,0
Negative ID,48.85473,-122.28489,0,0
Negative ID,48.80579,-122.68008,0,0
Negative ID,47.83395,-117.825891,0,1
Negative ID,46.30164,-119.371329,0,1
Negative ID,46.25033,-119.296151,1,1
Negative ID,47.28774,-116.936844,0,0
Negative ID,47.73702,-122.249162,0,0
Negative ID,46.92573,-122.436726,0,0
Negative ID,47.68901,-121.949504,0,0
Negative ID,46.9185,-123.015297,0,0
Negative ID,47.71313,-122.355548,0,1
Negative ID,47.88799,-119.942044,0,0
Negative ID,47.11522,-122.300735,0,1
Negative ID,48.95876,-122.44122,0,0
Negative ID,47.66604,-117.288787,0,0
Negative ID,47.69951,-122.369371,0,0
Negative ID,48.08835,-122.057132,0,0
Negative ID,48.83503,-122.480637,0,0
Negative ID,46.52067,-124.040339,0,0
Negative ID,47.1017,-122.317205,0,1
Negative ID,47.87282,-121.816455,0,0
Negative ID,48.89792,-122.419118,0,0
Negative ID,47.39441,-117.337027,0,0
Negative ID,47.62984,-120.68945,0,0
Negative ID,47.86366,-120.071108,0,1
Negative ID,47.61494,-117.363146,0,0
Negative ID,48.41007,-119.49506,0,0
Negative ID,48.75842,-122.421308,0,0
Negative ID,46.28451,-119.192993,0,1
Negative ID,47.83985,-120.01452,1,0
Negative ID,47.17709,-122.370846,1,1
Negative ID,47.59422,-122.046071,1,0
Negative ID,47.33898,-122.727563,0,0
Negative ID,47.82532,-122.29244,1,0
Negative ID,46.61913,-120.528499,0,1
Negative ID,47.8434,-120.023005,0,0
