Lab Status,Color,Abdomen,Location Probability
Negative ID,1,0,0.653012404
Negative ID,0,1,0.210840227
Negative ID,0,0,0.152457218
Negative ID,0,1,0.692520042
Negative ID,1,0,0.32934347
Negative ID,0,0,0.706351171
Negative ID,0,1,0.80079239
Negative ID,0,0,0.8513064
Negative ID,0,0,0.690012667
Negative ID,0,0,0.561484707
Negative ID,0,0,0.804599892
Negative ID,0,0,0.456464082
Negative ID,0,0,0.496227227
Negative ID,0,0,0.7912643
Negative ID,0,0,0.512952731
Negative ID,0,1,0.223938837
Negative ID,1,1,0.210412034
Negative ID,0,0,0.069585585
Negative ID,0,0,0.665727715
Negative ID,0,0,0.547876391
Negative ID,0,0,0.63503348
Negative ID,0,0,0.571121288
Negative ID,0,1,0.670118745
Negative ID,0,0,0.137281238
Negative ID,0,1,0.572037117
Negative ID,0,0,0.814322558
Negative ID,0,0,0.669061911
Negative ID,0,0,0.696793351
Negative ID,0,0,0.812979779
Negative ID,0,1,0.570775636
Negative ID,0,0,0.647893828
Negative ID,0,0,0.8091444
Negative ID,0,0,0.123495557
Negative ID,0,0,0.142465695
Negative ID,0,0,0.510823957
Negative ID,0,1,0.468606398
Negative ID,0,0,0.440204893
Negative ID,0,0,0.801259547
Negative ID,0,1,0.205326173
Negative ID,1,0,0.460324343
Negative ID,1,1,0.586283511
Negative ID,1,0,0.629281647
Negative ID,0,0,0.461564368
Negative ID,0,0,0.632694774
Negative ID,1,0,0.681890707
Negative ID,0,1,0.368046145
Negative ID,0,0,0.460208426
Negative ID,0,0,0.789231783
Negative ID,0,1,0.797667065
Negative ID,1,0,0.356186159
Negative ID,0,1,0.661591395
Negative ID,0,0,0.80718463
Negative ID,0,0,0.661067404
Negative ID,0,0,0.599017327
Negative ID,0,0,0.826745006
Negative ID,0,0,0.228411071
Negative ID,1,0,0.105594379
Negative ID,0,0,0.792912189
Negative ID,0,1,0.666090466
Negative ID,1,0,0.381787027
Negative ID,0,1,0.323233542
Negative ID,0,0,0.794372865
Negative ID,0,0,0.149282106
Negative ID,0,0,0.64081561
Negative ID,0,1,0.665240232
Negative ID,0,0,0.274953754
Negative ID,0,0,0.627995521
Negative ID,0,1,0.658340255
Negative ID,0,0,0.85207665
Negative ID,0,0,0.852276021
Negative ID,0,0,0.639471466
Negative ID,0,0,0.646643522
Negative ID,1,0,0.58739863
Negative ID,0,0,0.165188705
Negative ID,0,0,0.510823957
Negative ID,1,0,0.791766256
Negative ID,0,0,0.748079926
Negative ID,0,1,0.215400769
Negative ID,0,1,0.59930805
Negative ID,0,0,0.806347036
Negative ID,1,0,0.653901489
Negative ID,0,0,0.469759765
Negative ID,0,1,0.369523997
Negative ID,1,0,0.665936775
Negative ID,0,0,0.583708011
Negative ID,0,1,0.596709873
Negative ID,0,1,0.213471488
Negative ID,0,0,0.660564891
Negative ID,0,1,0.697517484
Negative ID,0,0,0.687723466
Negative ID,0,1,0.662517372
Negative ID,0,0,0.625883431
Negative ID,0,1,0.599144889
Negative ID,0,0,0.451531914
Negative ID,0,1,0.605695413
Negative ID,0,0,0.597124336
Negative ID,0,1,0.688299325
Negative ID,1,1,0.578135702
Negative ID,0,0,0.58676723
Negative ID,1,0,0.463605467
Negative ID,1,0,0.151567023
Negative ID,1,0,0.586367602
Negative ID,0,0,0.641647957
Negative ID,0,1,0.79713607
Negative ID,0,0,0.685656956
Negative ID,0,1,0.477014541
Negative ID,1,1,0.808452479
Negative ID,0,0,0.826908662
Negative ID,0,0,0.461642567
Negative ID,0,0,0.575733913
Negative ID,1,0,0.201419378
Negative ID,0,0,0.459087842
Negative ID,0,1,0.818412894
Negative ID,0,0,0.209956679
Negative ID,0,0,0.261063727
Negative ID,0,0,0.758083847
Negative ID,1,1,0.360563256
Negative ID,0,0,0.34263667
Negative ID,0,1,0.613211959
Negative ID,0,0,0.240847813
Negative ID,1,1,0.674011153
Negative ID,0,0,0.790054671
Negative ID,0,0,0.708996534
Negative ID,0,0,0.692249599
Negative ID,0,1,0.598528238
Negative ID,0,0,0.362511517
Negative ID,0,0,0.56318032
Negative ID,0,0,0.808174663
Negative ID,0,0,0.56656102
Negative ID,1,0,0.465552483
